road,id,model_type,name,lat,lon,length
N1,1000000,source,source,23.7060278,90.443333,814
N1,1000001,link,link 1,23.704472250000002,90.44687485,10
N1,1000002,bridge,bridge 1,23.7029167,90.4504167,8
N1,1000003,link,link 2,23.7027778,90.4504722,1307
N1,1000004,bridge,bridge 2,23.6973608,90.4616667,870
N1,1000005,link,link 3,23.693833,90.4691382,5010
N1,1000006,bridge,bridge 3,23.7021111,90.5157778,492
N1,1000007,link,link 4,23.7050278,90.5193327,1112
N1,1000008,bridge,bridge 4,23.7015278,90.5281938,347
N1,1000009,link,link 5,23.700694300000002,90.5294577,10
N1,1000010,bridge,bridge 5,23.6998608,90.5307216,414
N1,1000011,link,link 6,23.69863855,90.5322495,10
N1,1000012,bridge,bridge 6,23.6974163,90.5337774,125
N1,1000013,link,link 7,23.6966386,90.5348052,381
N1,1000014,bridge,bridge 7,23.6943608,90.5376108,428
N1,1000015,link,link 8,23.693319099999997,90.539333,10
N1,1000016,bridge,bridge 8,23.6922774,90.5410552,183
N1,1000017,link,link 9,23.6918052,90.5426108,247
N1,1000018,bridge,bridge 9,23.6911108,90.5448886,191
N1,1000019,link,link 10,23.6904163,90.546583,736
N1,1000020,bridge,bridge 10,23.6854997,90.5512778,851
N1,1000021,link,link 11,23.678166,90.5556111,1039
N1,1000022,bridge,bridge 11,23.6705827,90.5599722,960
N1,1000023,link,link 12,23.6628333,90.5641111,718
N1,1000024,bridge,bridge 12,23.6591111,90.5697216,282
N1,1000025,link,link 13,23.6575,90.5719716,306
N1,1000026,bridge,bridge 13,23.6559722,90.5743327,373
N1,1000027,link,link 14,23.6550139,90.57580490000001,10
N1,1000028,bridge,bridge 14,23.6540556,90.5772771,320
N1,1000029,link,link 15,23.6525278,90.5798882,338
N1,1000030,bridge,bridge 15,23.6508889,90.5826382,661
N1,1000031,link,link 16,23.6476108,90.588083,353
N1,1000032,bridge,bridge 16,23.6449441,90.5899163,643
N1,1000033,link,link 17,23.6423469,90.5913052,10
N1,1000034,bridge,bridge 17,23.6397497,90.5926941,3
N1,1000035,link,link 18,23.6396941,90.5927219,817
N1,1000036,bridge,bridge 18,23.6341108,90.5970274,182
N1,1000037,link,link 19,23.6330549,90.5982774,974
N1,1000038,bridge,bridge 19,23.6262771,90.6042222,130
N1,1000039,link,link 20,23.6252216,90.6049722,135
N1,1000040,bridge,bridge 20,23.6242216,90.6055278,486
N1,1000041,link,link 21,23.6223466,90.60675,10
N1,1000042,bridge,bridge 21,23.6204716,90.6079722,377
N1,1000043,link,link 22,23.6173604,90.6096944,934
N1,1000044,bridge,bridge 22,23.6095556,90.6121944,65
N1,1000045,link,link 23,23.609,90.6124722,873
N1,1000046,bridge,bridge 23,23.6018611,90.6159722,126
N1,1000047,link,link 24,23.6009444,90.6165556,1009
N1,1000048,bridge,bridge 24,23.5959441,90.6246938,673
N1,1000049,link,link 25,23.593846900000003,90.62701325,10
N1,1000050,bridge,bridge 25,23.5917497,90.6293327,316
N1,1000051,link,link 26,23.5896108,90.6313882,873
N1,1000052,bridge,bridge 26,23.5837497,90.6369441,126
N1,1000053,link,link 27,23.5828327,90.6378886,38
N1,1000054,bridge,bridge 27,23.5825827,90.6381386,695
N1,1000055,link,link 28,23.58009655,90.6401247,10
N1,1000056,bridge,bridge 28,23.5776104,90.6421108,396
N1,1000057,link,link 29,23.5745271,90.6436941,307
N1,1000058,bridge,bridge 29,23.572166,90.6451108,692
N1,1000059,link,link 30,23.5666111,90.6481663,367
N1,1000060,bridge,bridge 30,23.5639167,90.6501944,570
N1,1000061,link,link 31,23.5621667,90.65220830000001,10
N1,1000062,bridge,bridge 31,23.5604167,90.6542222,77
N1,1000063,link,link 32,23.5599722,90.6548056,573
N1,1000064,bridge,bridge 32,23.5564444,90.6588611,435
N1,1000065,link,link 33,23.5538056,90.6619722,241
N1,1000066,bridge,bridge 33,23.5523333,90.6636667,582
N1,1000067,link,link 34,23.5487497,90.6678327,224
N1,1000068,bridge,bridge 34,23.5474163,90.6694438,519
N1,1000069,link,link 35,23.5458191,90.6712771,10
N1,1000070,bridge,bridge 35,23.5442219,90.6731104,256
N1,1000071,link,link 36,23.542583,90.6749438,1033
N1,1000072,bridge,bridge 36,23.536083,90.6821382,315
N1,1000073,link,link 37,23.535110799999998,90.68322169999999,10
N1,1000074,bridge,bridge 37,23.5341386,90.6843052,650
N1,1000075,link,link 38,23.5301938,90.688833,664
N1,1000076,bridge,bridge 38,23.529916,90.6952219,335
N1,1000077,link,link 39,23.5301382,90.6984997,1078
N1,1000078,bridge,bridge 39,23.5307771,90.7090278,354
N1,1000079,link,link 40,23.5313882,90.7153611,503
N1,1000080,bridge,bridge 40,23.5315271,90.7173604,64
N1,1000081,link,link 41,23.5317216,90.7180271,512
N1,1000082,bridge,bridge 41,23.5322346,90.7226298386,487
N1,1000083,link,link 42,23.5327216,90.7269993,2621
N1,1000084,bridge,bridge 42,23.5293882,90.7514167,40
N1,1000085,link,link 43,23.529416,90.75175,2185
