road,lat,lon,model_type,length,condition,id,name
N1,23.7060278,90.443333,source,814,,1000000,source
N1,23.704472250000002,90.44687485,link,10,,1000001,link 1
N1,23.7029167,90.4504167,bridge,8,B,1000002,bridge 1
N1,23.7027778,90.4504722,link,1307,,1000003,link 2
N1,23.6973608,90.4616667,bridge,870,C,1000004,bridge 2
N1,23.693833,90.4691382,link,5010,,1000005,link 3
N1,23.7021111,90.5157778,bridge,492,A,1000006,bridge 3
N1,23.7050278,90.5193327,link,1112,,1000007,link 4
N1,23.7015278,90.5281938,bridge,347,B,1000008,bridge 4
N1,23.700694300000002,90.5294577,link,10,,1000009,link 5
N1,23.6998608,90.5307216,bridge,414,A,1000010,bridge 5
N1,23.69863855,90.5322495,link,10,,1000011,link 6
N1,23.6974163,90.5337774,bridge,125,A,1000012,bridge 6
N1,23.6966386,90.5348052,link,381,,1000013,link 7
N1,23.6943608,90.5376108,bridge,428,A,1000014,bridge 7
N1,23.693319099999997,90.539333,link,10,,1000015,link 8
N1,23.6922774,90.5410552,bridge,183,B,1000016,bridge 8
N1,23.6918052,90.5426108,link,247,,1000017,link 9
N1,23.6911108,90.5448886,bridge,191,A,1000018,bridge 9
N1,23.6904163,90.546583,link,736,,1000019,link 10
N1,23.6854997,90.5512778,bridge,851,A,1000020,bridge 10
N1,23.6854997,90.5512778,bridge,851,A,1000021,bridge 11
N1,23.6854997,90.5512778,bridge,851,A,1000022,bridge 12
N1,23.678166,90.5556111,link,1039,,1000023,link 11
N1,23.6705827,90.5599722,bridge,960,C,1000024,bridge 13
N1,23.6628333,90.5641111,link,718,,1000025,link 12
N1,23.6591111,90.5697216,bridge,282,A,1000026,bridge 14
N1,23.6575,90.5719716,link,306,,1000027,link 13
N1,23.6559722,90.5743327,bridge,373,A,1000028,bridge 15
N1,23.6550139,90.57580490000001,link,10,,1000029,link 14
N1,23.6540556,90.5772771,bridge,320,A,1000030,bridge 16
N1,23.6525278,90.5798882,link,338,,1000031,link 15
N1,23.6508889,90.5826382,bridge,661,A,1000032,bridge 17
N1,23.6508889,90.5826382,bridge,661,B,1000033,bridge 18
N1,23.6508889,90.5826382,bridge,661,B,1000034,bridge 19
N1,23.6476108,90.588083,link,353,,1000035,link 16
N1,23.6449441,90.5899163,bridge,643,C,1000036,bridge 20
N1,23.6449441,90.5899163,bridge,643,B,1000037,bridge 21
N1,23.6449441,90.5899163,bridge,643,B,1000038,bridge 22
N1,23.6423469,90.5913052,link,10,,1000039,link 17
N1,23.6397497,90.5926941,bridge,3,B,1000040,bridge 23
N1,23.6396941,90.5927219,link,817,,1000041,link 18
N1,23.6341108,90.5970274,bridge,182,B,1000042,bridge 24
N1,23.6330549,90.5982774,link,974,,1000043,link 19
N1,23.6262771,90.6042222,bridge,130,A,1000044,bridge 25
N1,23.6252216,90.6049722,link,135,,1000045,link 20
N1,23.6242216,90.6055278,bridge,486,B,1000046,bridge 26
N1,23.6223466,90.60675,link,10,,1000047,link 21
