road,lat,lon,model_type,road_to,condition,length,id,name
N1,23.7060278,90.443333,intersection,,,814,1000000,intersection
N1,23.70447225,90.44687485,link,,,814,1000001,link 1
N1,23.7029167,90.4504167,bridge,,C,8,1000002,bridge 1
N1,23.7027778,90.4504722,link,,,1315,1000003,link 2
N1,23.6973608,90.4616667,bridge,,A,870,1000004,bridge 2
N1,23.693833,90.4691382,link,,,5880,1000005,link 3
N1,23.7021111,90.5157778,bridge,,A,492,1000006,bridge 3
N1,23.7050278,90.5193327,link,,,752,1000007,link 4
N1,23.7060833,90.5215271,intersection,N2,,740,1000008,intersection
N1,23.7025278,90.5273882,link,,,852,1000009,link 5
N1,23.7015278,90.5281938,bridge,,B,347,1000010,bridge 4
N1,23.7006943,90.5294577,link,,,347,1000011,link 6
N1,23.6998608,90.5307216,bridge,,A,414,1000012,bridge 5
N1,23.69863855,90.5322495,link,,,414,1000013,link 7
N1,23.6974163,90.5337774,bridge,,A,125,1000014,bridge 6
N1,23.6966386,90.5348052,link,,,507,1000015,link 8
N1,23.6943608,90.5376108,bridge,,A,428,1000016,bridge 7
N1,23.6933191,90.539333,link,,,428,1000017,link 9
N1,23.6922774,90.5410552,bridge,,A,183,1000018,bridge 8
N1,23.6918052,90.5426108,link,,,431,1000019,link 10
N1,23.6911108,90.5448886,bridge,,A,191,1000020,bridge 9
N1,23.69076355,90.5457358,link,,,191,1000021,link 11
N1,23.6904163,90.546583,intersection,N105,,587,1000022,intersection
N1,23.6865274,90.5504167,link,,,736,1000023,link 12
N1,23.6854997,90.5512778,bridge,,A,851,1000024,bridge 10
N1,23.678166,90.5556111,link,,,1891,1000025,link 13
N1,23.6705827,90.5599722,bridge,,A,960,1000026,bridge 11
N1,23.6628333,90.5641111,link,,,1679,1000027,link 14
N1,23.6591111,90.5697216,bridge,,A,282,1000028,bridge 12
N1,23.6575,90.5719716,link,,,588,1000029,link 15
N1,23.6559722,90.5743327,bridge,,B,373,1000030,bridge 13
N1,23.6550139,90.5758049,link,,,373,1000031,link 16
N1,23.6540556,90.5772771,bridge,,A,320,1000032,bridge 14
N1,23.6525278,90.5798882,link,,,658,1000033,link 17
N1,23.6508889,90.5826382,bridge,,B,661,1000034,bridge 15
N1,23.6476108,90.588083,link,,,1015,1000035,link 18
N1,23.6449441,90.5899163,bridge,,C,643,1000036,bridge 16
N1,23.6423469,90.5913052,link,,,643,1000037,link 19
N1,23.6397497,90.5926941,bridge,,A,3,1000038,bridge 17
N1,23.6396941,90.5927219,link,,,820,1000039,link 20
N1,23.6341108,90.5970274,bridge,,B,182,1000040,bridge 18
N1,23.6330549,90.5982774,link,,,1157,1000041,link 21
N1,23.6262771,90.6042222,bridge,,A,130,1000042,bridge 19
N1,23.6252216,90.6049722,link,,,266,1000043,link 22
N1,23.6242216,90.6055278,bridge,,B,486,1000044,bridge 20
N1,23.6223466,90.60675,link,,,486,1000045,link 23
N1,23.6204716,90.6079722,bridge,,B,377,1000046,bridge 21
N1,23.6173604,90.6096944,link,,,1312,1000047,link 24
N1,23.6095556,90.6121944,bridge,,A,65,1000048,bridge 22
N1,23.609,90.6124722,link,,,939,1000049,link 25
N1,23.6018611,90.6159722,bridge,,A,126,1000050,bridge 23
N1,23.6009444,90.6165556,link,,,1135,1000051,link 26
N1,23.5959441,90.6246938,bridge,,A,673,1000052,bridge 24
N1,23.5938469,90.62701325,link,,,673,1000053,link 27
N1,23.5917497,90.6293327,bridge,,A,316,1000054,bridge 25
N1,23.5896108,90.6313882,link,,,1190,1000055,link 28
N1,23.5837497,90.6369441,bridge,,A,126,1000056,bridge 26
N1,23.5828327,90.6378886,link,,,164,1000057,link 29
N1,23.5825827,90.6381386,bridge,,A,695,1000058,bridge 27
N1,23.58009655,90.6401247,link,,,695,1000059,link 30
N1,23.5776104,90.6421108,bridge,,B,396,1000060,bridge 28
N1,23.5745271,90.6436941,link,,,704,1000061,link 31
N1,23.572166,90.6451108,bridge,,A,692,1000062,bridge 29
N1,23.5666111,90.6481663,link,,,1059,1000063,link 32
N1,23.5639167,90.6501944,bridge,,A,570,1000064,bridge 30
N1,23.5621667,90.6522083,link,,,570,1000065,link 33
N1,23.5604167,90.6542222,bridge,,A,77,1000066,bridge 31
N1,23.5599722,90.6548056,link,,,650,1000067,link 34
N1,23.5564444,90.6588611,bridge,,A,435,1000068,bridge 32
N1,23.5538056,90.6619722,link,,,676,1000069,link 35
N1,23.5523333,90.6636667,bridge,,A,582,1000070,bridge 33
