roadNo	roadId	startChainage	endChainage	width	nrLanes
N401	1366	0	0.65	10.2	3
N401	1366	0.65	1.01	5.6	2
N401	1366	1.01	3.66	6	2
N401	1366	3.66	7.5	5.8	2
N401	1366	7.5	9.76	5.7	2
N401	1366	9.76	13.41	5.7	2
N401	1366	13.41	17.055	5.7	2
N401	1366	17.055	17.505	6	2
N401	1366	17.505	19.43	5.7	2
N401	1366	19.43	20.72	6	2
N401	1366	20.72	22.48	5.8	2
N401	1366	22.48	25.495	6	2
N401	1366	25.495	27.99	5.7	2
N401	1366	27.99	34.51	5.7	2
N401	1366	34.51	38.405	5.7	2
N401	1366	38.405	39.875	5.7	2
N401	1366	39.875	40.295	7.8	2
N401	1366	40.295	42.195	5.8	2
N401	1366	42.195	45.46	5.8	2
N401	1366	45.46	46.1	9.5	3
N401	1366	46.1	46.26	9.3	3
N401	1366	46.26	46.98	9.5	3
