,road,LRPName,type,name,condition,length,chainage,lat,lon,Proportion truck
0,N1,LRP001a,Box Culvert,.,A,11.3,1.8,23.69873866,90.4588610799999,0.3853866092825353
1,N1,LRP004b,Box Culvert,.,A,6.6,4.925,23.6946638363636,90.4877749181818,0.2823952305803963
2,N1,LRP008b,PC Girder Bridge,Kanch pur Bridge.,A,394.23,8.976,23.7050598925675,90.5232141463513,0.33857390443179003
4,N1,LRP010a,Box Culvert,KATCHPUR BOX CULVERT,B,8.0,10.543,23.6964000869109,90.5350989801047,0.33857390443179003
5,N1,LRP010b,Box Culvert,NOYAPARA CULVERT,A,6.3,10.88,23.6943906141361,90.5375740774869,0.33857390443179003
6,N1,LRP010c,Box Culvert,ADUPUR CULVERT,A,6.3,10.897,23.6943023869158,90.5377073719626,0.33857390443179003
7,N1,LRP011a,Box Culvert,NAYABARI KASPUR BOX CULVERT,A,8.3,11.296,23.6923601518691,90.5409183897196,0.33857390443179003
8,N1,LRP011c,Box Culvert,NAYABARI BOX CULVERT,B,10.6,11.808,23.6909119315151,90.5454624957575,0.33857390443179003
9,N1,LRP012a,Box Culvert,KHAS PARA BOX CULVERT,A,9.3,12.239,23.6884123260204,90.5485585290816,0.33857390443179003
10,N1,LRP012b,Box Culvert,DAWAN BAG BOX CULVERT,A,6.1,12.253,23.6883197331632,90.548649807653,0.33857390443179003
11,N1,LRP013a,PC Girder Bridge,Madanpur Bridge.(L),A,27.5,12.66,23.685583027027,90.551207981081,0.33857390443179003
15,N1,LRP014a,Box Culvert,KAWTALA BOX CULVERT,A,11.9,13.574,23.6778035,90.5558194349999,0.33857390443179003
16,N1,LRP016a,Box Culvert,MALIBAG BOX CULVERT,B,5.55,15.465,23.6633090696149,90.563856994797,0.33857390443179003
17,N1,LRP017b,RCC Girder Bridge,Langalbandh Bridge.,C,159.52,17.134,23.6544257051136,90.576730225,0.33857390443179003
19,N1,LRP018b,PC Girder Bridge,Darikandi Bridge (R),A,20.45,17.222,23.65397226,90.57741042,0.33857390443179003
23,N1,LRP018c,PC Girder Bridge,Sonakhal Bridge(L),A,25.5,18.093,23.6497543993548,90.5845490085483,0.33857390443179003
27,N1,LRP019a,PC Girder Bridge,MOLLIK PARA BRIDGE (R),C,40.5,18.742,23.6459685949152,90.5892119813559,0.33857390443179003
31,N1,LRP020a,Box Culvert,KRIBORDI BOX CULVERT,A,6.0,19.76,23.6379543715384,90.5936673976923,0.33857390443179003
32,N1,LRP020b,Box Culvert,SHADIPUR BOX CULVERT,B,10.4,20.397,23.63380522,90.597394085,0.4437068055697409
33,N1,LRP021c,PC Girder Bridge,Marikhali Bridge(L),A,86.92,21.184,23.6284668507692,90.6023015723077,0.4437068055697409
36,N1,LRP022a,Box Culvert,SANGAKADI CULVERT,B,5.5,22.328,23.6198832229508,90.6083528852459,0.4437068055697409
37,N1,LRP023a,PC Girder Bridge,ASHIR CHAR (Right),A,224.8,22.596,23.6176407964705,90.6095506105882,0.4437068055697409
45,N1,LRP024a,PC Girder Bridge,Meghna Bridge,A,924.85,24.393,23.6027595885583,90.6155316965675,0.4437068055697409
47,N1,LRP026a,Box Culvert,TATULTALA CULVERT,A,5.6,26.115,23.5929818827893,90.6279699370919,0.4437068055697409
48,N1,LRP026b,Box Culvert,BAILAKANDI CULVERT,A,5.5,26.452,23.5908088547468,90.6302368598101,0.4437068055697409
49,N1,LRP027a,Box Culvert,MALUAKANDI CULVEDRT,A,5.6,27.12,23.58631812254,90.6345094207093,0.4437068055697409
50,N1,LRP028b,PC Girder Bridge,Bhater char Bridge (L),A,172.1,28.315,23.5779800248475,90.6419193089939,0.4437068055697409
53,N1,LRP029a,PC Girder Bridge,Anarpara Bridge (L),A,29.85,29.138,23.5716306256965,90.6454159236842,0.4437068055697409
